"ELECTION_DATE","TEC_FILER_IDENT","CONTEST_NAME","CHOICE_NAME","PARTY_NAME","TOTAL_VOTES","PERCENT_OF_VOTES","REGISTERED_VOTERS","BALLOTS_CAST","NUM_PRECINCT_TOTAL","NUM_PRECINCT_RPTG","OVER_VOTES","UNDER_VOTES"
"2023-03-05","00088068","Railroad Commissioner","Katherine Culbert","DEM","79988","71.04","68145","79988","885","0","0","0"
"2023-03-05","00088123","Railroad Commissioner","Bill Burch","DEM","32606","28.96","1423689","125562","885","0","0","0"
"2023-03-05","00069652","Justice, Supreme Court, Place 2","Randy Sarosdy","DEM","41019","36.93","69030","41019","885","0","0","0"
"2023-03-05","00082446","Justice, Supreme Court, Place 2","DaSean Jones","DEM","70050","63.07","1423689","125562","885","0","0","0"
"2023-03-05","00081859","Justice, Supreme Court, Place 4","Christine Vinh Weems","DEM","106913","100.00","69915","106913","885","0","0","0"
"2023-03-05","00066111","Justice, Supreme Court, Place 6","Bonnie Lee Goldstein","DEM","80685","72.07","70800","80685","885","0","0","0"
"2023-03-05","00068006","Justice, Supreme Court, Place 6","Joe Pool","DEM","31261","27.93","1423689","125562","885","0","0","0"
"2023-03-05","00088174","Presiding Judge, Court of Criminal Appeals","Holly Taylor","DEM","104841","100.00","71685","104841","885","0","0","0"
"2023-03-05","00086397","Judge, Court of Criminal Appeals, Place 7","Nancy Mulder","DEM","104820","100.00","72570","104820","885","0","0","0"
"2023-03-05","00080031","Judge, Court of Criminal Appeals, Place 8","Chika Anyiam","DEM","103783","100.00","73455","103783","885","0","0","0"
"2023-03-05","00088388","Member, State Board of Education, District 11","Rayna Glasser","DEM","2982","100.00","3528","2982","42","0","0","0"
"2023-03-05","00088193","Member, State Board of Education, District 12","George King","DEM","15332","100.00","10285","15332","121","0","0","0"
"2023-03-05","00088140","State Senator, District 12","Stephanie Draper","DEM","14058","100.00","10664","14058","124","0","0","0"
"2023-03-05","00080065","State Senator, District 16","Victoria Neave Criado","DEM","13554","40.85","27492","13554","316","0","0","0"
"2023-03-05","00081605","State Senator, District 16","Nathan Johnson","DEM","19629","59.15","461809","36108","316","0","0","0"
"2023-03-05","00020990","State Senator, District 23","Royce West","DEM","51277","100.00","30536","51277","347","0","0","0"
"2023-03-05","00088158","State Representative, District 100","Justice McFarlane","DEM","495","6.58","6942","495","78","0","0","0"
"2023-03-05","00069780","State Representative, District 100","Sandra Crenshaw","DEM","1274","16.92","86976","7988","78","0","0","0"
"2023-03-05","00057485","State Representative, District 100","Barbara Mallory Caraway","DEM","1944","25.82","86976","7988","78","0","0","0"
"2023-03-05","00086182","State Representative, District 100","Venton Jones","DEM","3815","50.68","86976","7988","78","0","0","0"
"2023-03-05","00081730","State Representative, District 102","Ana-Maria Ramos","DEM","6606","100.00","4140","6606","46","0","0","0"
"2023-03-05","00054808","State Representative, District 103","Rafael Anchia","DEM","6651","100.00","7735","6651","85","0","0","0"
"2023-03-05","00082026","State Representative, District 104","Jessica Gonzalez","DEM","4282","100.00","6072","4282","66","0","0","0"
"2023-03-05","00069649","State Representative, District 105","Terry Meza","DEM","4108","100.00","5487","4108","59","0","0","0"
"2023-03-05","00088300","State Representative, District 107","Linda Garcia","DEM","3979","100.00","5264","3979","56","0","0","0"
"2023-03-05","00087718","State Representative, District 108","Yasmin Simon","DEM","5406","41.12","7600","5406","80","0","0","0"
"2023-03-05","00085730","State Representative, District 108","Elizabeth Ginsberg","DEM","7742","58.88","142232","13903","80","0","0","0"
"2023-03-05","00082438","State Representative, District 109","Victoria Walton","DEM","5032","38.05","5568","5032","58","0","0","0"
"2023-03-05","00082094","State Representative, District 109","Aicha Davis","DEM","8192","61.95","112672","14550","58","0","0","0"
"2023-03-05","00067987","State Representative, District 110","Toni Rose","DEM","5826","100.00","7081","5826","73","0","0","0"
"2023-03-05","00019811","State Representative, District 111","Yvonne Davis","DEM","13602","100.00","6174","13602","63","0","0","0"
"2023-03-05","00087886","State Representative, District 112","Averie Bishop","DEM","8637","100.00","5148","8637","52","0","0","0"
"2023-03-05","00080443","State Representative, District 113","Rhetta Andrews Bowers","DEM","6277","100.00","4100","6277","41","0","0","0"
"2023-03-05","00086370","State Representative, District 114","John Bryant","DEM","9947","100.00","7070","9947","70","0","0","0"
"2023-03-05","00087736","State Representative, District 115","Scarlett Cornwallis","DEM","870","11.04","5916","870","58","0","0","0"
"2023-03-05","00087764","State Representative, District 115","Cassandra Hernandez","DEM","4604","58.43","109913","8528","58","0","0","0"
"2023-03-05","00087800","State Representative, District 115","Kate Rumsey","DEM","2406","30.53","109913","8528","58","0","0","0"
"2023-03-05","00055113","Chief Justice, 5th Court of Appeals District","Dennise Garcia","DEM","50911","44.82","91155","50911","885","0","0","0"
